PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
84973	-9	com.apple.progressd
-	0	com.apple.enhancedloggingd
-	0	com.citrix.devicetrust.launchagent
51473	-9	com.apple.cloudphotod
23024	-9	com.apple.MENotificationService
61022	0	com.citrix.safariadapter
625	0	com.apple.Finder
798	0	com.apple.homed
87078	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
831	0	com.apple.mediaremoteagent
670	0	com.apple.FontWorker
23021	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
24450	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
95778	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
669	0	com.apple.nsurlsessiond
82562	-9	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
25825	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
12171	-9	com.apple.intelligenceplatformd
67131	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
35823	-9	com.apple.LinkedNotesUIService
95790	-9	com.apple.ndoagent
644	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
23019	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
801	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
95613	-9	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
57165	-9	com.apple.ManagedSettingsAgent
789	0	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
14001	0	com.apple.tipsd
-	0	com.apple.stickersd
42484	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
727	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
20423	-9	com.apple.CommCenter
53247	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
590	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
83941	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	-9	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
11572	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
82816	-9	com.apple.replicatord
66974	-9	com.apple.keyboardservicesd
703	0	com.apple.accessibility.axassetsd
78088	-9	com.apple.quicklook.ThumbnailsAgent
86828	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
598	0	com.apple.WindowManager.agent
705	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
-	0	com.citrix.UninstallMonitor
-	-9	com.apple.webprivacyd
12810	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
